id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2013,Women/men ratio,ARG,,2013,3.957845449447632,26,,Women/men ratio,6,Argentina,Argentina,Average hours per week spent caring for children or others at home.,Hours in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio,CHL,,2015,2.543105840682983,26,,Women/men ratio,6,Chile,Chile,Average hours per week spent caring for children or others at home.,Hours in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio,COL,,2012,5.611818313598633,26,,Women/men ratio,6,Colombia,Colombia,Average hours per week spent caring for children or others at home.,Hours in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2016,Women/men ratio,COL,,2016,4.713573455810547,26,,Women/men ratio,6,Colombia,Colombia,Average hours per week spent caring for children or others at home.,Hours in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CRI2004,Women/men ratio,CRI,,2004,7.993188381195068,26,,Women/men ratio,6,Costa Rica,Costa Rica,Average hours per week spent caring for children or others at home.,Hours in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CRI2017,Women/men ratio,CRI,,2017,3.921505212783814,26,,Women/men ratio,6,Costa Rica,Costa Rica,Average hours per week spent caring for children or others at home.,Hours in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
DOM2016,Women/men ratio,DOM,,2016,,26,,Women/men ratio,6,Dominican republic,Dominican republic,Average hours per week spent caring for children or others at home.,Hours in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ECU2012,Women/men ratio,ECU,,2012,6.242888450622559,26,,Women/men ratio,6,Ecuador,Ecuador,Average hours per week spent caring for children or others at home.,Hours in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
GTM2011,Women/men ratio,GTM,,2011,,26,,Women/men ratio,6,Guatemala,Guatemala,Average hours per week spent caring for children or others at home.,Hours in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
GTM2014,Women/men ratio,GTM,,2014,5.925231456756592,26,,Women/men ratio,6,Guatemala,Guatemala,Average hours per week spent caring for children or others at home.,Hours in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
MEX2009,Women/men ratio,MEX,,2009,4.852545738220215,26,,Women/men ratio,6,Mexico,Mexico,Average hours per week spent caring for children or others at home.,Hours in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
MEX2014,Women/men ratio,MEX,,2014,3.947208166122437,26,,Women/men ratio,6,Mexico,Mexico,Average hours per week spent caring for children or others at home.,Hours in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
PER2010,Women/men ratio,PER,,2010,3.69788670539856,26,,Women/men ratio,6,Peru,Peru,Average hours per week spent caring for children or others at home.,Hours in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
PRY2016,Women/men ratio,PRY,,2016,4.160517692565918,26,,Women/men ratio,6,Paraguay,Paraguay,Average hours per week spent caring for children or others at home.,Hours in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
SLV2017,Women/men ratio,SLV,,2017,2.873101234436035,26,,Women/men ratio,6,El Salvador,El Salvador,Average hours per week spent caring for children or others at home.,Hours in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
URY2007,Women/men ratio,URY,,2007,5.487594604492188,26,,Women/men ratio,6,Uruguay,Uruguay,Average hours per week spent caring for children or others at home.,Hours in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
URY2013,Women/men ratio,URY,,2013,2.471279382705689,26,,Women/men ratio,6,Uruguay,Uruguay,Average hours per week spent caring for children or others at home.,Hours in care activities,The reference population includes persons aged 15 to 24 in households with children aged 0 to 18. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
