id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,comparacion_por,comparacion_por_orden,pais,indicador,detalle_indicador,disclaimer
ARG2000,"Total, language",ARG,PISA,2000,1.111956477165222,5,"Total, language",3,Argentina,Ratio of standardized tests scores for 15 year-old students,Ratio of standardized tests scores between female and male students aged 15.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,"Low-skilled household, language",ARG,PISA,2000,1.10847818851471,6,"Qualification, language",4,Argentina,Ratio of standardized tests scores for 15 year-old students,Ratio of standardized tests scores between female and male students aged 15.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,"Medium-skilled household, language",ARG,PISA,2000,1.083106517791748,7,"Qualification, language",4,Argentina,Ratio of standardized tests scores for 15 year-old students,Ratio of standardized tests scores between female and male students aged 15.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,"High-skilled household, language",ARG,PISA,2000,1.099697947502136,8,"Qualification, language",4,Argentina,Ratio of standardized tests scores for 15 year-old students,Ratio of standardized tests scores between female and male students aged 15.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Total, mathematic",ARG,PISA,2006,.9667890071868897,1,"Total, mathematic",1,Argentina,Ratio of standardized tests scores for 15 year-old students,Ratio of standardized tests scores between female and male students aged 15.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Low-skilled household, mathematics",ARG,PISA,2006,.9761078357696533,2,"Qualification, mathematic",2,Argentina,Ratio of standardized tests scores for 15 year-old students,Ratio of standardized tests scores between female and male students aged 15.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Medium-skilled household, mathematics",ARG,PISA,2006,.967528760433197,3,"Qualification, mathematic",2,Argentina,Ratio of standardized tests scores for 15 year-old students,Ratio of standardized tests scores between female and male students aged 15.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"High-skilled household, mathematics",ARG,PISA,2006,.9831534624099731,4,"Qualification, mathematic",2,Argentina,Ratio of standardized tests scores for 15 year-old students,Ratio of standardized tests scores between female and male students aged 15.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Total, language",ARG,PISA,2006,1.156149625778198,5,"Total, language",3,Argentina,Ratio of standardized tests scores for 15 year-old students,Ratio of standardized tests scores between female and male students aged 15.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Low-skilled household, language",ARG,PISA,2006,1.207909822463989,6,"Qualification, language",4,Argentina,Ratio of standardized tests scores for 15 year-old students,Ratio of standardized tests scores between female and male students aged 15.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2006,"Medium-skilled household, language",ARG,PISA,2006,1.160582542419434,7,"Qualification, language",4,Argentina,Ratio of standardized tests scores for 15 year-old students,Ratio of standardized tests scores between female and male students aged 15.,The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
